"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"179",5,6,3,0,0,0,0,0,0,1,0,1,2400,0
"180",5,6,4,1,0,0,0,0,0,0,0,0,0,1
"181",5,7,1,0,1,0,0,0,0,0,1,0,3000,0
"182",5,7,2,0,0,0,1,0,0,0,0,0,1200,0
"183",5,7,3,0,1,1,0,0,1,0,0,1,1800,0
"184",5,7,4,1,0,0,0,0,0,0,0,0,0,1
"185",5,9,1,0,1,1,0,0,0,1,0,1,3000,0
"186",5,9,2,0,0,0,1,0,0,0,1,0,2400,0
"187",5,9,3,0,1,0,0,0,0,0,0,1,4800,0
"188",5,9,4,1,0,0,0,0,0,0,0,0,0,1
"189",5,10,1,0,0,1,0,0,0,0,0,0,1200,0
"190",5,10,2,0,1,0,1,0,0,0,1,1,1800,0
"191",5,10,3,0,0,0,0,1,1,0,0,0,3000,0
"192",5,10,4,1,0,0,0,0,0,0,0,0,0,1
"193",5,11,1,0,0,1,0,0,0,0,1,1,3000,0
"194",5,11,2,0,0,0,0,0,0,1,0,0,4800,0
"195",5,11,3,0,1,0,0,1,1,0,0,1,2400,0
"196",5,11,4,1,0,0,0,0,0,0,0,0,0,1
"197",5,12,1,0,1,0,1,0,1,0,0,0,1200,0
"198",5,12,2,0,0,0,0,1,0,0,0,1,2400,0
"199",5,12,3,0,1,0,0,0,0,1,0,0,1800,0
"200",5,12,4,1,0,0,0,0,0,0,0,0,0,1
"201",8,1,1,0,1,0,0,1,1,0,0,0,2400,0
"202",8,1,2,1,1,0,1,0,0,0,1,1,1800,0
"203",8,1,3,0,0,1,0,0,0,0,0,0,4800,0
"204",8,1,4,0,0,0,0,0,0,0,0,0,0,1
"205",8,2,1,0,0,0,0,0,0,1,0,1,4800,0
"206",8,2,2,0,0,0,0,1,0,0,0,1,3000,0
"207",8,2,3,0,1,0,1,0,0,0,1,0,2400,0
"208",8,2,4,1,0,0,0,0,0,0,0,0,0,1
"209",8,3,1,0,0,0,1,0,0,0,1,1,3000,0
"210",8,3,2,0,1,0,0,0,1,0,0,1,1200,0
"211",8,3,3,0,0,1,0,0,0,1,0,0,1800,0
"212",8,3,4,1,0,0,0,0,0,0,0,0,0,1
"213",8,4,1,0,0,1,0,0,1,0,0,1,4800,0
"214",8,4,2,0,1,0,0,0,0,1,0,0,2400,0
"215",8,4,3,0,1,0,0,1,0,0,0,0,1800,0
"216",8,4,4,1,0,0,0,0,0,0,0,0,0,1
"217",8,5,1,0,1,0,0,1,0,1,0,1,4800,0
"218",8,5,2,0,1,1,0,0,0,0,1,0,3000,0
"219",8,5,3,0,0,0,0,0,0,0,0,0,1200,0
"220",8,5,4,1,0,0,0,0,0,0,0,0,0,1
"221",8,7,1,0,1,1,0,0,0,0,0,1,2400,0
"222",8,7,2,0,1,0,1,0,0,1,0,1,1200,0
"223",8,7,3,0,0,0,0,0,1,0,0,0,3000,0
"224",8,7,4,1,0,0,0,0,0,0,0,0,0,1
"225",8,8,1,0,0,0,0,1,0,1,0,0,1200,0
"226",8,8,2,0,1,0,0,0,1,0,0,1,1800,0
"227",8,8,3,0,0,0,1,0,0,0,1,0,4800,0
"228",8,8,4,1,0,0,0,0,0,0,0,0,0,1
"229",8,9,1,0,0,1,0,0,0,1,0,1,1800,0
"230",8,9,2,0,1,0,0,1,1,0,0,0,4800,0
"231",8,9,3,0,0,0,0,0,0,0,0,0,2400,0
